,GHI
6,17
7,149
8,289
9,227
10,288
11,308
12,212
13,111
14,47
30,16
31,145
32,283
33,218
34,291
35,313
36,381
37,120
38,131
54,2
55,7
56,10
57,30
58,201
59,182
60,66
61,11
62,7
78,16
79,139
80,171
81,381
82,289
83,437
84,210
85,139
86,136
102,1
103,9
104,12
105,18
106,21
107,20
108,17
109,19
110,8
126,2
127,10
128,21
129,89
130,214
131,32
132,28
133,19
134,85
135,1
150,2
151,9
152,19
153,28
154,33
155,35
156,28
157,19
158,9
159,14
174,2
175,157
176,19
177,154
178,53
179,225
180,50
181,19
182,9
183,1
198,2
199,9
200,20
201,144
202,132
203,189
204,36
205,19
206,9
207,2
222,2
223,9
224,19
225,28
226,34
227,46
228,28
229,19
230,9
231,2
246,6
247,146
248,287
249,185
250,34
251,266
252,67
253,80
254,36
255,5
270,18
271,151
272,290
273,396
274,293
275,327
276,397
277,291
278,151
279,20
294,5
295,46
296,13
297,15
298,18
299,18
300,15
301,13
302,7
303,23
318,2
319,10
320,20
321,246
322,479
323,321
324,193
325,304
326,160
327,10
342,12
343,97
344,152
345,268
346,128
347,129
348,20
349,17
350,8
351,3
366,3
367,21
368,45
369,67
370,80
371,80
372,69
373,48
374,23
375,5
390,3
391,28
392,39
393,19
394,23
395,23
396,19
397,16
398,11
399,5
414,4
415,12
416,20
417,29
418,37
419,42
420,42
421,31
422,19
423,7
438,4
439,17
440,22
441,29
442,35
443,35
444,33
445,23
446,14
447,5
462,4
463,18
464,22
465,30
466,35
467,36
468,37
469,31
470,25
471,8
486,4
487,17
488,33
489,53
490,78
491,88
492,75
493,48
494,21
495,5
510,3
511,14
512,35
513,42
514,34
515,24
516,24
517,33
518,16
519,4
534,9
535,44
536,86
537,63
538,276
539,156
540,196
541,197
542,41
543,12
558,3
559,7
560,12
561,62
562,97
563,68
564,167
565,39
566,8
567,4
582,4
583,95
584,207
585,60
586,127
587,60
588,47
589,54
590,12
591,4
606,3
607,11
608,22
609,32
610,148
611,261
612,107
613,135
614,86
615,48
630,3
631,11
632,23
633,33
634,223
635,217
636,180
637,140
638,53
639,57
654,35
655,12
656,23
657,274
658,404
659,412
660,341
661,236
662,106
663,26
678,3
679,12
680,24
681,34
682,40
683,56
684,35
685,14
686,10
687,5
702,11
703,179
704,328
705,444
706,508
707,518
708,464
709,361
710,217
711,64
726,40
727,193
728,343
729,460
730,525
731,532
732,478
733,371
734,224
735,67
750,3
751,12
752,23
753,33
754,39
755,41
756,39
757,26
758,15
759,5
774,11
775,49
776,182
777,358
778,334
779,340
780,235
781,227
782,46
783,14
798,44
799,16
800,112
801,230
802,283
803,404
804,382
805,238
806,133
807,42
822,49
823,31
824,254
825,250
826,367
827,306
828,287
829,133
830,11
831,6
846,4
847,8
848,38
849,245
850,327
851,226
852,143
853,285
854,63
855,23
870,4
871,8
872,14
873,24
874,434
875,199
876,246
877,82
878,14
879,7
894,54
895,210
896,362
897,287
898,291
899,316
900,502
901,396
902,250
903,88
918,62
919,225
920,381
921,501
922,570
923,577
924,519
925,245
926,107
927,34
942,5
943,15
944,27
945,37
946,148
947,417
948,413
949,65
950,17
951,29
966,35
967,122
968,192
969,52
970,215
971,218
972,232
973,201
974,126
975,42
990,67
991,82
992,383
993,269
994,356
995,409
996,342
997,235
998,88
999,100
1014,5
1015,15
1016,28
1017,112
1018,169
1019,320
1020,315
1021,317
1022,163
1023,63
1038,29
1039,105
1040,378
1041,39
1042,80
1043,72
1044,47
1045,44
1046,18
1047,7
1062,6
1063,16
1064,397
1065,271
1066,591
1067,602
1068,546
1069,441
1070,290
1071,120
1086,85
