,GHI
2391,323
2392,127
2404,13
2405,166
2406,362
2407,551
2408,708
2409,820
2410,871
2411,863
2412,796
2413,670
2414,505
2415,284
2416,121
2428,13
2429,159
2430,350
2431,535
2432,690
2433,801
2434,855
2435,849
2436,781
2437,663
2438,500
2439,311
2440,123
2452,17
2453,170
2454,363
2455,447
2456,539
2457,674
2458,699
2459,854
2460,778
2461,662
2462,448
2463,231
2464,126
2476,17
2477,169
2478,364
2479,551
2480,707
2481,819
2482,872
2483,862
2484,795
2485,671
2486,507
2487,313
2488,125
2500,21
2501,178
2502,375
2503,564
2504,723
2505,833
2506,883
2507,752
2508,804
2509,490
2510,338
2511,192
2512,85
2524,18
2525,69
2526,178
2527,180
2528,382
2529,450
2530,59
2531,427
2532,668
2533,507
2534,235
2535,29
2536,62
2548,3
2549,8
2550,30
2551,156
2552,128
2553,195
2554,278
2555,282
2556,503
2557,443
2558,323
2559,344
2560,146
2572,27
2573,185
2574,372
2575,434
2576,707
2577,609
2578,488
2579,726
2580,84
2581,182
2582,357
2583,315
2584,136
2596,3
2597,14
2598,31
2599,48
2600,62
2601,91
2602,73
2603,112
2604,151
2605,99
2606,44
2607,27
2608,10
2620,3
2621,14
2622,31
2623,93
2624,63
2625,295
2626,640
2627,583
2628,392
2629,393
2630,48
2631,195
2632,62
2644,3
2645,14
2646,31
2647,50
2648,170
2649,586
2650,660
2651,920
2652,846
2653,509
2654,377
2655,357
2656,157
2657,11
2668,44
2669,82
2670,266
2671,443
2672,547
2673,525
2674,935
2675,922
2676,847
2677,722
2678,552
2679,358
2680,160
2681,12
2692,42
2693,210
2694,407
2695,595
2696,750
2697,861
2698,911
2699,900
2700,830
2701,707
2702,540
2703,348
2704,154
2705,12
2716,44
2717,90
2718,408
2719,460
2720,744
2721,620
2722,899
2723,888
2724,646
2725,702
2726,540
2727,351
2728,158
2729,14
2740,50
2741,59
2742,427
2743,614
2744,769
2745,877
2746,929
2747,917
2748,847
2749,722
2750,554
2751,362
2752,166
2753,16
2764,57
2765,237
2766,436
2767,621
2768,770
2769,861
2770,905
2771,894
2772,816
2773,693
2774,531
2775,343
2776,41
2777,13
2788,42
2789,202
2790,351
2791,507
2792,637
2793,726
2794,769
2795,759
2796,700
2797,597
2798,464
2799,288
2800,33
2801,6
2812,5
2813,11
2814,22
2815,36
2816,55
2817,59
2818,198
2819,478
2820,382
2821,535
2822,127
2823,27
2824,40
2825,1
2836,5
2837,11
2838,53
2839,33
2840,55
2841,69
2842,65
2843,77
2844,142
2845,404
2846,185
2847,141
2848,43
2849,5
2860,52
2861,64
2862,414
2863,597
2864,750
2865,844
2866,890
2867,881
2868,799
2869,678
2870,517
2871,333
2872,149
2873,11
2884,54
2885,223
2886,416
2887,601
2888,750
2889,887
2890,936
2891,926
2892,770
2893,661
2894,516
2895,304
2896,181
2897,25
2908,71
2909,250
2910,446
2911,629
2912,776
2913,881
2914,926
2915,912
2916,835
2917,708
2918,174
2919,277
2920,34
2921,6
2932,11
2933,29
2934,98
2935,312
2936,610
2937,651
2938,735
2939,755
2940,688
2941,542
2942,280
2943,48
2944,15
2945,5
2956,74
2957,251
2958,448
2959,630
2960,782
2961,890
2962,940
2963,931
2964,862
2965,742
2966,578
2967,386
2968,188
2969,30
2980,5
2981,17
2982,42
2983,235
2984,570
2985,571
2986,725
2987,720
2988,589
2989,472
2990,248
2991,115
2992,91
2993,31
3004,31
3005,243
3006,224
3007,624
3008,771
3009,864
3010,901
3011,725
3012,447
3013,74
3014,32
3015,31
3016,120
3017,18
3028,87
3029,268
3030,460
3031,469
3032,467
3033,891
3034,936
3035,923
3036,852
3037,729
3038,565
3039,375
3040,54
3041,10
3052,85
3053,267
3054,88
3055,265
3056,64
3057,176
3058,341
3059,73
3060,69
3061,233
3062,360
3063,252
3064,198
3065,24
3076,6
3077,18
3078,289
3079,472
3080,563
3081,488
3082,916
3083,726
3084,729
3085,468
3086,575
3087,273
3088,172
3089,38
3100,27
3101,111
3102,290
3103,618
3104,766
3105,884
3106,929
3107,919
3108,856
3109,735
3110,577
3111,389
3112,198
3113,39
3124,59
3125,12
3126,25
3127,186
3128,543
3129,696
3130,740
3131,699
3132,683
3133,635
3134,467
3135,330
3136,26
3137,8
3148,34
3149,99
3150,293
3151,574
3152,721
3153,806
3154,664
3155,735
3156,662
3157,562
3158,472
3159,295
3160,118
3161,4
3172,77
3173,252
3174,331
3175,625
3176,771
3177,889
3178,936
3179,921
3180,858
3181,736
3182,574
3183,387
3184,198
3185,41
3196,103
3197,284
3198,478
3199,510
3200,621
3201,905
3202,951
3203,941
3204,878
3205,758
3206,598
3207,410
3208,215
3209,49
3220,103
3221,283
3222,476
3223,652
3224,797
3225,894
3226,940
3227,926
3228,862
3229,744
3230,585
3231,231
3232,10
3233,5
3244,58
3245,210
3246,304
3247,548
3248,617
3249,665
3250,730
3251,781
3252,755
3253,616
3254,380
3255,391
3256,171
3257,43
3268,39
3269,153
3270,315
3271,649
3272,796
3273,895
3274,942
3275,931
3276,866
3277,750
3278,592
3279,406
3280,214
3281,28
3292,106
3293,283
3294,471
3295,647
3296,791
3297,919
3298,968
3299,960
3300,891
3301,775
3302,615
3303,428
3304,233
3305,61
3316,117
3317,303
3318,498
3319,678
3320,822
3321,922
3322,965
3323,760
3324,712
3325,666
3326,592
3327,323
3328,177
3329,47
3340,107
3341,282
3342,471
3343,649
3344,796
3345,463
3346,781
3347,653
3348,858
3349,503
3350,345
3351,404
3352,67
3353,57
3364,6
3365,11
3366,94
3367,477
3368,541
3369,648
3370,820
3371,812
3372,643
3373,633
3374,532
3375,404
3376,217
3377,56
3388,116
3389,296
3390,486
3391,661
3392,804
3393,902
3394,948
3395,940
3396,875
3397,761
3398,604
3399,422
3400,231
3401,64
3412,115
3413,293
3414,483
3415,658
3416,801
3417,900
3418,946
3419,935
3420,869
3421,752
3422,594
3423,411
3424,205
3425,61
3436,117
3437,295
3438,484
3439,657
3440,799
3441,896
3442,944
3443,934
3444,868
3445,752
3446,599
3447,416
3448,182
3449,40
3460,7
3461,13
3462,25
3463,197
3464,123
3465,96
3466,277
3467,531
3468,667
3469,772
3470,618
3471,202
3472,240
3473,71
3484,121
3485,148
3486,291
3487,370
3488,337
3489,731
3490,952
3491,943
3492,686
3493,765
3494,610
3495,426
3496,237
3497,70
3508,121
3509,300
3510,491
3511,666
3512,811
3513,914
3514,963
3515,957
3516,895
3517,782
3518,625
3519,440
3520,247
3521,75
3532,126
3533,307
3534,498
3535,676
3536,824
3537,924
3538,972
3539,966
3540,903
3541,788
3542,629
3543,445
3544,250
3545,77
3556,128
3557,311
3558,502
3559,677
3560,821
3561,920
3562,966
3563,959
3564,894
3565,779
3566,625
3567,442
3568,251
3569,79
3580,130
3581,313
3582,505
3583,681
3584,826
3585,924
3586,970
3587,960
3588,893
3589,777
3590,621
3591,438
3592,248
3593,77
3604,130
3605,311
3606,504
3607,679
3608,824
3609,920
3610,967
3611,955
3612,892
3613,777
3614,620
3615,440
3616,250
3617,80
3628,125
3629,300
3630,485
3631,658
3632,799
3633,905
3634,949
3635,939
3636,868
3637,670
3638,478
3639,352
3640,167
3641,56
3652,118
3653,288
3654,333
3655,425
3656,777
3657,713
3658,791
3659,510
3660,230
3661,56
3662,37
3663,37
3664,123
3665,35
3676,111
3677,192
3678,352
3679,475
3680,603
3681,868
3682,920
3683,710
3684,855
3685,561
3686,596
3687,151
3688,80
3689,8
3700,128
3701,305
3702,492
3703,667
3704,811
3705,117
3706,847
3707,944
3708,756
3709,765
3710,610
3711,431
3712,190
3713,82
3723,9
3724,129
3725,307
3726,361
3727,663
3728,801
3729,899
3730,941
3731,774
3732,714
3733,743
3734,591
3735,415
3736,234
3737,75
3747,6
3748,50
3749,174
3750,402
3751,460
3752,623
3753,555
3754,792
3755,484
3756,72
3757,144
3758,266
3759,343
3760,197
3761,60
3771,4
3772,110
3773,275
3774,453
3775,621
3776,761
3777,888
3778,939
3779,932
3780,872
3781,755
3782,601
3783,422
3784,237
3785,77
3795,8
3796,123
3797,297
3798,483
3799,658
3800,803
3801,912
3802,960
3803,954
3804,896
3805,783
3806,634
3807,457
3808,270
3809,96
3819,11
3820,137
3821,319
3822,509
3823,684
3824,828
3825,928
3826,977
3827,970
3828,908
3829,795
3830,641
3831,460
3832,270
3833,96
3843,12
3844,141
3845,323
3846,512
3847,685
3848,684
3849,923
3850,797
3851,950
3852,645
3853,334
3854,250
3855,135
3856,146
3857,17
3867,10
3868,130
3869,303
3870,486
3871,659
3872,806
3873,912
3874,971
3875,974
3876,917
3877,808
3878,654
3879,472
3880,278
3881,100
3891,11
3892,135
3893,314
3894,503
3895,676
3896,819
3897,920
3898,966
3899,961
3900,898
3901,708
3902,584
3903,365
3904,272
3905,99
3915,11
3916,138
3917,319
3918,508
3919,680
3920,823
3921,923
3922,972
3923,963
3924,901
3925,790
3926,639
3927,461
3928,273
3929,100
3939,12
3940,139
3941,318
3942,506
3943,484
3944,816
3945,694
3946,821
3947,944
3948,670
3949,764
3950,610
3951,432
3952,212
3953,65
3963,6
3964,114
3965,279
3966,330
3967,621
3968,627
3969,717
3970,677
3971,671
3972,827
3973,595
3974,531
3975,272
3976,12
3977,53
3987,5
3988,110
3989,274
3990,451
3991,620
3992,762
3993,879
3994,736
3995,928
3996,878
3997,658
3998,625
3999,450
4000,266
4001,97
4011,10
4012,94
4013,226
4014,230
4015,413
4016,404
4017,765
4018,793
4019,668
4020,618
4021,594
4022,600
4023,433
4024,257
4025,94
4035,12
4036,138
4037,319
4038,507
4039,682
4040,827
4041,928
4042,981
4043,976
4044,914
4045,799
4046,645
4047,463
4048,271
4049,98
4059,1
4060,9
4061,91
4062,490
4063,491
4064,807
4065,913
4066,964
4067,961
4068,898
4069,792
4070,643
4071,467
4072,279
4073,104
4083,11
4084,132
4085,310
4086,497
4087,672
4088,816
4089,918
4090,968
4091,963
4092,903
4093,794
4094,644
4095,467
4096,279
4097,105
4107,11
4108,135
4109,315
4110,504
4111,680
4112,825
4113,926
4114,975
4115,970
4116,907
4117,796
4118,644
4119,464
4120,276
4121,102
4131,8
4132,124
4133,296
4134,479
4135,651
4136,793
4137,894
4138,944
4139,939
4140,878
4141,772
4142,623
4143,449
4144,265
4145,97
4155,8
4156,124
4157,296
4158,478
4159,647
4160,785
4161,884
4162,933
4163,926
4164,864
4165,282
4166,607
4167,435
4168,219
4169,73
4179,6
4180,116
4181,184
4182,340
4183,507
4184,778
4185,730
4186,922
4187,918
4188,871
4189,764
4190,619
4191,445
4192,262
4193,96
4204,117
4205,286
4206,374
4207,543
4208,624
4209,755
4210,928
4211,924
4212,869
4213,761
4214,614
4215,440
4216,258
4217,94
4228,112
4229,174
4230,352
4231,518
4232,609
4233,727
4234,942
4235,729
4236,678
4237,772
4238,455
4239,452
4240,268
4241,99
4252,117
4253,285
4254,464
4255,447
4256,764
4257,869
4258,914
4259,567
4260,768
4261,749
4262,258
4263,430
4264,253
4265,94
4276,119
4277,285
4278,351
4279,542
4280,610
4281,694
4282,586
4283,669
4284,627
4285,601
4286,488
4287,399
4288,227
4289,75
4300,105
4301,189
4302,455
4303,558
4304,650
4305,726
4306,776
4307,755
4308,705
4309,607
4310,640
4311,467
4312,280
4313,107
4324,110
4325,231
4326,331
4327,620
4328,758
4329,670
4330,820
4331,777
4332,711
4333,737
4334,502
4335,433
4336,179
4337,91
4348,96
4349,165
4350,313
4351,483
4352,732
4353,852
4354,790
4355,900
4356,733
4357,633
4358,498
4359,426
4360,247
4361,88
4372,108
4373,273
4374,451
4375,500
4376,595
4377,875
4378,261
4379,650
4380,877
4381,433
4382,393
4383,367
4384,269
4385,74
4396,118
4397,117
4398,480
4399,655
4400,799
4401,903
4402,956
4403,956
4404,899
4405,792
4406,643
4407,463
4408,275
4409,103
4420,120
4421,298
4422,337
4423,666
4424,815
4425,922
4426,980
4427,978
4428,923
4429,816
4430,665
4431,484
4432,291
4433,110
4444,120
4445,299
4446,488
4447,664
4448,808
4449,911
4450,964
4451,964
4452,908
4453,802
4454,654
4455,475
4456,285
4457,107
4468,120
4469,300
4470,490
4471,667
4472,814
4473,917
4474,971
4475,970
4476,912
4477,804
4478,654
4479,476
4480,286
4481,108
4492,115
4493,293
4494,482
4495,658
4496,804
4497,908
4498,964
4499,961
4500,905
4501,794
4502,522
4503,464
4504,275
4505,100
4516,109
4517,282
4518,331
4519,646
4520,795
4521,709
4522,758
4523,758
4524,705
4525,788
4526,639
4527,461
4528,272
4529,99
4540,110
4541,285
4542,471
4543,645
4544,790
4545,318
4546,940
4547,339
4548,314
4549,767
4550,619
4551,443
4552,257
4553,90
4564,99
4565,266
4566,448
4567,620
4568,765
4569,858
4570,910
4571,908
4572,865
4573,760
4574,614
4575,442
4576,260
4577,93
4588,103
4589,278
4590,470
4591,650
4592,803
4593,911
4594,966
4595,963
4596,904
4597,794
4598,640
4599,460
4600,268
4601,95
4612,106
4613,280
4614,466
4615,639
4616,782
4617,890
4618,943
4619,941
4620,868
4621,760
4622,502
4623,434
4624,250
4625,85
4636,74
4637,232
4638,412
4639,588
4640,737
4641,869
4642,926
4643,790
4644,878
4645,771
4646,625
4647,452
4648,266
4649,95
4660,98
4661,267
4662,452
4663,625
4664,596
4665,690
4666,740
4667,738
4668,686
4669,590
4670,496
4671,22
4672,12
4673,6
4684,89
4685,113
4686,429
4687,599
4688,741
4689,871
4690,926
4691,926
4692,865
4693,763
4694,618
4695,351
4696,101
4697,15
4708,55
4709,254
4710,436
4711,405
4712,584
4713,878
4714,778
4715,941
4716,891
4717,789
4718,639
4719,458
4720,264
4721,88
4732,96
4733,270
4734,320
4735,507
4736,783
4737,714
4738,940
4739,936
4740,881
4741,773
4742,624
4743,446
4744,258
4745,86
4756,93
4757,265
4758,453
4759,629
4760,777
4761,882
4762,937
4763,936
4764,880
4765,775
4766,628
4767,452
4768,263
4769,91
4780,90
4781,261
4782,448
4783,626
4784,773
4785,880
4786,935
4787,934
4788,877
4789,769
4790,619
4791,439
4792,251
4793,81
4804,89
4805,262
4806,452
4807,628
4808,777
4809,885
4810,941
4811,942
4812,886
4813,778
4814,627
4815,446
4816,255
4817,83
4828,82
4829,247
4830,431
4831,604
4832,750
4833,861
4834,918
4835,917
4836,856
4837,750
4838,604
4839,428
4840,244
4841,78
4852,37
4853,241
4854,421
4855,589
4856,727
4857,627
4858,871
4859,127
4860,832
4861,472
4862,587
4863,413
4864,233
4865,71
4876,74
4877,240
4878,425
4879,373
4880,750
4881,871
4882,927
4883,926
4884,863
4885,758
4886,608
4887,430
4888,242
4889,75
4900,62
4901,89
4902,277
4903,466
4904,580
4905,682
4906,851
4907,849
4908,812
4909,588
4910,562
4911,392
4912,217
4913,64
4924,84
4925,255
4926,441
4927,411
4928,509
4929,597
4930,914
4931,637
4932,587
4933,738
4934,589
4935,413
4936,231
4937,69
4948,73
4949,85
4950,294
4951,604
4952,755
4953,876
4954,934
4955,733
4956,647
4957,608
4958,495
4959,433
4960,244
4961,57
4972,27
4973,98
4974,272
4975,614
4976,762
4977,869
4978,923
4979,922
4980,870
4981,762
4982,612
4983,431
4984,241
4985,72
4996,75
4997,243
4998,431
4999,608
5000,759
5001,867
5002,922
5003,920
5004,864
5005,755
5006,604
5007,424
5008,235
5009,68
5020,71
5021,238
5022,424
5023,600
5024,748
5025,859
5026,913
5027,911
5028,855
5029,746
5030,597
5031,421
5032,235
5033,68
5044,74
5045,244
5046,432
5047,610
5048,757
5049,863
5050,915
5051,913
5052,855
5053,744
5054,593
5055,416
5056,229
5057,65
5068,68
5069,236
5070,424
5071,298
5072,750
5073,465
5074,502
5075,502
5076,464
5077,391
5078,589
5079,411
5080,225
5081,61
5092,66
5093,233
5094,421
5095,597
5096,744
5097,847
5098,901
5099,898
5100,841
5101,734
5102,585
5103,408
5104,222
5105,58
5116,65
5117,93
5118,288
5119,459
5120,593
5121,693
5122,910
5123,914
5124,863
5125,753
5126,599
5127,415
5128,221
5129,55
5140,34
5141,138
5142,402
5143,468
5144,587
5145,720
5146,763
5147,800
5148,823
5149,716
5150,567
5151,390
5152,207
5153,49
5164,55
5165,217
5166,403
5167,580
5168,728
5169,681
5170,732
5171,886
5172,823
5173,548
5174,567
5175,392
5176,207
5177,48
5188,53
5189,214
5190,399
5191,576
5192,725
5193,832
5194,885
5195,881
5196,823
5197,711
5198,557
5199,378
5200,194
5201,40
5212,45
5213,202
5214,386
5215,565
5216,716
5217,845
5218,901
5219,900
5220,835
5221,722
5222,569
5223,387
5224,200
5225,43
5236,49
5237,208
5238,391
5239,566
5240,711
5241,599
5242,859
5243,857
5244,597
5245,512
5246,413
5247,218
5248,148
5249,24
5260,47
5261,204
5262,389
5263,567
5264,717
5265,838
5266,895
5267,896
5268,831
5269,723
5270,570
5271,389
5272,200
5273,32
5284,46
5285,205
5286,391
5287,569
5288,719
5289,840
5290,895
5291,893
5292,835
5293,724
5294,571
5295,391
5296,201
5297,41
5308,47
5309,208
5310,396
5311,575
5312,727
5313,836
5314,889
5315,884
5316,819
5317,708
5318,555
5319,374
5320,187
5321,33
5332,29
5333,52
5334,279
5335,226
5336,488
5337,785
5338,844
5339,741
5340,686
5341,700
5342,558
5343,387
5344,200
5345,38
5356,46
5357,208
5358,397
5359,577
5360,731
5361,850
5362,905
5363,897
5364,631
5365,707
5366,361
5367,226
5368,12
5369,18
5380,39
5381,199
5382,389
5383,143
5384,525
5385,853
5386,909
5387,904
5388,841
5389,728
5390,571
5391,386
5392,194
5393,33
5404,41
5405,200
5406,388
5407,566
5408,716
5409,840
5410,896
5411,892
5412,834
5413,721
5414,567
5415,384
5416,193
5417,32
5428,40
5429,204
5430,394
5431,575
5432,726
5433,837
5434,890
5435,885
5436,823
5437,711
5438,445
5439,375
5440,186
5441,28
5452,36
5453,192
5454,378
5455,448
5456,561
5457,658
5458,859
5459,706
5460,802
5461,693
5462,428
