GHI
416
851
18
81
201
58
136
40
661
344
641
309
252
893
452
204
196
721
482
71
54
833
10
218
168
793
142
23
421
105
891
367
96
398
417
201
440
139
56
321
530
811
216
292
462
777
601
10
172
935
664
826
878
668
732
701
635
303
579
303
179
188
638
60
128
129
371
4
10
172
615
63
59
331
70
132
70
159
34
425
36
655
209
478
681
316
599
894
947
330
127
143
906
21
690
361
873
201
642
270
254
11
177
216
489
352
398
27
217
59
138
336
611
588
948
241
878
585
351
815
599
196
432
772
8
10
224
883
434
568
237
74
624
12
25
117
123
228
153
20
669
170
13
395
98
552
29
242
731
250
759
263
551
395
704
11
442
152
63
99
443
41
180
125
42
416
245
259
25
649
302
760
8
440
829
586
709
620
26
227
69
84
384
116
58
581
458
96
6
112
290
6
273
10
106
365
652
183
107
6
145
617
762
632
697
466
101
604
416
156
185
92
674
330
607
158
670
147
844
263
757
569
396
543
761
44
201
12
186
532
776
876
4
315
297
24
443
621
115
339
163
47
205
250
151
433
337
471
102
171
79
271
135
364
33
674
63
207
11
389
150
149
769
36
640
622
509
566
608
723
7
227
464
5
286
8
73
451
8
912
625
716
85
69
133
267
360
5
477
193
795
640
432
124
11
187
179
160
438
24
123
286
887
704
523
649
747
266
460
10
80
23
734
660
563
745
41
833
502
640
627
12
63
402
232
213
176
537
73
737
209
5
18
282
564
731
169
30
14
33
77
125
350
56
263
394
624
106
439
21
780
758
507
842
413
55
70
79
891
76
312
18
250
123
254
96
855
25
79
501
831
483
527
247
381
446
350
444
238
155
496
148
427
132
174
280
662
43
594
941
15
122
760
164
444
37
105
79
444
53
856
305
620
21
260
152
564
778
15
33
24
69
860
900
20
379
637
586
777
220
114
196
802
39
730
19
49
66
540
303
37
225
424
80
25
122
215
8
27
9
149
626
33
420
23
25
143
671
388
60
95
625
750
60
240
82
26
631
253
634
389
73
67
96
792
963
360
652
437
564
554
526
14
508
7
462
831
124
381
70
40
202
880
37
823
684
9
33
551
133
32
1
283
289
555
116
775
805
2
785
106
142
770
30
208
27
114
556
252
24
403
830
121
621
365
517
69
116
128
166
468
440
6
99
178
202
62
15
794
431
38
759
203
725
17
649
72
38
585
608
349
28
96
225
37
400
35
871
361
418
7
764
17
627
36
433
163
21
704
162
138
436
625
307
646
451
33
812
151
54
55
6
455
11
475
291
27
480
624
283
29
231
500
252
368
614
716
221
864
47
141
913
89
626
19
243
146
160
67
319
732
14
725
488
875
567
936
51
791
508
11
123
11
893
763
235
337
898
286
729
339
251
274
287
512
133
78
935
613
109
689
153
194
14
857
336
822
19
457
670
68
108
13
389
450
886
250
301
574
189
212
936
397
34
57
381
363
213
96
232
25
2
905
353
566
235
678
592
432
93
208
299
160
407
102
784
239
394
37
226
128
114
307
755
813
694
16
356
569
58
686
832
108
286
237
23
262
423
471
38
864
192
185
821
621
592
456
398
289
80
245
21
72
681
159
16
20
317
489
8
582
724
19
179
11
288
149
231
180
179
719
25
7
25
750
84
55
224
251
538
209
234
513
736
61
108
8
28
418
82
779
142
252
364
30
629
24
746
243
328
398
773
726
750
188
765
137
78
742
168
107
469
52
521
373
602
42
8
9
33
37
298
7
486
49
255
453
15
327
181
586
160
770
876
759
711
865
26
778
224
715
633
550
458
159
13
83
18
75
634
911
520
94
5
5
832
218
326
334
721
195
228
273
41
598
477
934
882
843
117
27
333
91
82
281
891
794
261
252
590
795
439
69
25
612
349
167
163
968
289
36
491
543
360
92
343
365
902
40
589
387
39
114
126
99
357
628
235
1
53
121
849
13
191
37
12
855
19
459
134
488
222
185
648
632
638
331
38
37
108
99
31
401
158
665
18
46
189
29
519
10
886
109
423
611
406
903
534
253
202
37
625
928
158
578
67
432
750
738
10
864
93
387
37
604
4
85
2
145
634
139
282
47
6
509
766
352
38
578
920
268
2
193
49
351
972
298
14
681
868
876
922
51
833
923
342
5
218
206
324
64
35
17
347
272
52
452
82
458
330
686
215
379
35
887
226
207
299
548
104
22
309
92
258
9
207
952
404
17
195
83
62
458
264
62
182
183
16
35
1
286
49
696
321
515
238
191
669
605
6
445
13
7
514
74
60
25
18
467
299
506
258
33
96
812
191
10
611
942
494
3
756
4
712
546
339
184
118
6
599
49
443
528
654
631
795
492
71
405
694
25
970
680
74
26
12
618
631
273
60
710
274
19
137
6
9
520
428
618
734
196
50
9
435
404
944
351
134
769
